,gene_name,entrez_id,ensembl_id
493,HAT1,8520,ENSG00000128708
494,MAPKAPK5,8550,ENSG00000089022
495,BHLHE40,8553,ENSG00000134107
496,MKNK1,8569,ENSG00000079277
497,CASK,8573,ENSG00000147044
498,AKR7A2,8574,ENSG00000053371
499,RUVBL1,8607,ENSG00000175792
500,PSMG1,8624,ENSG00000183527
501,BECN1,8678,ENSG00000126581
502,MBTPS1,8720,ENSG00000140943
503,EED,8726,ENSG00000074266
504,CTNNAL1,8727,ENSG00000119326
505,RNMT,8731,ENSG00000101654
506,PEX11A,8800,ENSG00000166821
507,CREG1,8804,ENSG00000143162
508,INPP4B,8821,ENSG00000109452
509,IQGAP1,8826,ENSG00000140575
510,SOCS2,8835,ENSG00000120833
511,CFLAR,8837,ENSG00000003402
512,CDK5R1,8851,ENSG00000176749
513,ST3GAL5,8869,ENSG00000115525
514,IER3,8870,ENSG00000137331
515,SQSTM1,8878,ENSG00000161011
516,SLC5A6,8884,ENSG00000138074
517,CPNE3,8895,ENSG00000085719
518,CCNA1,8900,ENSG00000133101
519,TIMELESS,8914,ENSG00000111602
520,P4HA2,8974,ENSG00000072682
521,PLOD3,8985,ENSG00000106397
522,NOL3,8996,ENSG00000140939
523,SLC25A14,9016,ENSG00000102078
524,MPZL1,9019,ENSG00000197965
525,MAP7,9053,ENSG00000135525
526,DNAJA3,9093,ENSG00000103423
527,USP14,9097,ENSG00000101557
528,MTA1,9112,ENSG00000182979
529,PDLIM1,9124,ENSG00000107438
530,SMC3,9126,ENSG00000108055
531,PRPF4,9128,ENSG00000136875
532,CCNB2,9133,ENSG00000157456
533,CCNE2,9134,ENSG00000175305
534,SYNGR3,9143,ENSG00000127561
535,LPAR2,9170,ENSG00000064547
536,ARHGEF2,9181,ENSG00000116584
537,ZW10,9183,ENSG00000086827
538,AURKB,9212,ENSG00000178999
539,VAPB,9217,ENSG00000124164
540,NOLC1,9221,ENSG00000166197
541,UBE2L6,9246,ENSG00000156587
542,MAPKAPK2,9261,ENSG00000162889
543,CYTH1,9267,ENSG00000108669
544,ITGB1BP1,9270,ENSG00000119185
545,BCL7B,9275,ENSG00000106635
546,COPB2,9276,ENSG00000184432
547,ADGRG1,9289,ENSG00000205336
548,TM9SF2,9375,ENSG00000125304
549,MAP4K4,9448,ENSG00000071054
550,HOMER2,9455,ENSG00000103942
551,SH3BP5,9467,ENSG00000131370
552,PIGB,9488,ENSG00000069943
553,PSMF1,9491,ENSG00000125818
554,SPTLC2,9517,ENSG00000100596
555,TBPL1,9519,ENSG00000028839
556,BAG3,9531,ENSG00000151929
557,POLR1C,9533,ENSG00000171453
558,SPAG7,9552,ENSG00000091640
559,FEZ2,9637,ENSG00000171055
560,IKBKE,9641,ENSG00000263528
561,MTFR1,9650,ENSG00000066855
562,HS2ST1,9653,ENSG00000153936
563,IPO13,9670,ENSG00000117408
564,VGLL4,9686,ENSG00000144560
565,NUP93,9688,ENSG00000102900
566,UBE3C,9690,ENSG00000009335
567,EDEM1,9695,ENSG00000134109
